frame,NOSE_x,NOSE_y,NOSE_z,NOSE_visibility,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_visibility,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_visibility,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_visibility,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_visibility,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_visibility,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_visibility,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_visibility,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_visibility
1,0.21958346664905548,0.44781243801116943,0.0,0.9071888327598572,0.22471675276756287,0.4818221926689148,0.0,0.9860917925834656,0.18742819130420685,0.49800142645835876,0.0,0.995816171169281,0.23846642673015594,0.6127040386199951,0.0,0.9955912828445435,0.21412163972854614,0.624228298664093,0.0,0.9976730942726135,0.24830731749534607,0.6931861042976379,0.0,0.9835323095321655,0.22410409152507782,0.7056338787078857,0.0,0.9904671311378479,0.256911039352417,0.7658594846725464,0.0,0.9463703632354736,0.2314859926700592,0.7834715843200684,0.0,0.9637007117271423
2,0.2200956493616104,0.44788873195648193,0.0,0.9288023114204407,0.22600232064723969,0.4819011092185974,0.0,0.9731572866439819,0.18976521492004395,0.5016278028488159,0.0,0.9954146146774292,0.236456498503685,0.6107609868049622,0.0,0.9927852153778076,0.21229514479637146,0.6252997517585754,0.0,0.9969559907913208,0.2505675256252289,0.6881936192512512,0.0,0.9831193089485168,0.22201983630657196,0.7152109742164612,0.0,0.9932194352149963,0.26029840111732483,0.7562958002090454,0.0,0.9557849168777466,0.22944965958595276,0.7930518984794617,0.0,0.9752360582351685
3,0.2196299135684967,0.4461514949798584,0.0,0.901377260684967,0.2285441905260086,0.48021337389945984,0.0,0.9657626748085022,0.19137074053287506,0.5000753402709961,0.0,0.9942975640296936,0.23855046927928925,0.6127743124961853,0.0,0.9922986626625061,0.21371708810329437,0.6267784833908081,0.0,0.9968119263648987,0.252971351146698,0.6902176141738892,0.0,0.9833881855010986,0.22245264053344727,0.7138736844062805,0.0,0.9934832453727722,0.2651098072528839,0.7635313868522644,0.0,0.959225594997406,0.22994522750377655,0.7958699464797974,0.0,0.9776738882064819
4,0.22345958650112152,0.4449073076248169,0.0,0.9183375835418701,0.2304939329624176,0.47935864329338074,0.0,0.9691832065582275,0.19289173185825348,0.49820470809936523,0.0,0.9950854182243347,0.23976245522499084,0.6130414605140686,0.0,0.9928874373435974,0.2145077884197235,0.6259680986404419,0.0,0.9971022009849548,0.2552717328071594,0.694502592086792,0.0,0.9852802157402039,0.2238408625125885,0.7120258212089539,0.0,0.9942986965179443,0.27094566822052,0.7762312889099121,0.0,0.9642777442932129,0.23389045894145966,0.7983488440513611,0.0,0.9807383418083191
5,0.20772066712379456,0.4528922140598297,0.0,0.8961548209190369,0.23299860954284668,0.48389559984207153,0.0,0.985335111618042,0.19581907987594604,0.49745652079582214,0.0,0.9863465428352356,0.2407054901123047,0.6181524395942688,0.0,0.9943503737449646,0.21396318078041077,0.6280182003974915,0.0,0.9948900938034058,0.2596847116947174,0.7038801312446594,0.0,0.9869474172592163,0.22494015097618103,0.7214090824127197,0.0,0.9891027212142944,0.2734280824661255,0.7766073346138,0.0,0.9610174298286438,0.2356749027967453,0.806472659111023,0.0,0.9656810760498047
6,0.21924610435962677,0.45478567481040955,0.0,0.8272467255592346,0.23312516510486603,0.48320630192756653,0.0,0.9660227298736572,0.19707699120044708,0.4970088303089142,0.0,0.9878419041633606,0.24222460389137268,0.6148722171783447,0.0,0.9916129112243652,0.21646098792552948,0.6242445111274719,0.0,0.9953212141990662,0.2597275376319885,0.7018463015556335,0.0,0.9823740720748901,0.22570157051086426,0.7131001949310303,0.0,0.9906936287879944,0.2747477889060974,0.7837767004966736,0.0,0.9555897116661072,0.23572151362895966,0.8013308048248291,0.0,0.9707504510879517
7,0.2330971658229828,0.4515361487865448,0.0,0.8968749046325684,0.2343873679637909,0.48657503724098206,0.0,0.9637233018875122,0.1978699117898941,0.500333845615387,0.0,0.9925891160964966,0.24369321763515472,0.615559458732605,0.0,0.9891720414161682,0.21865840256214142,0.6252645254135132,0.0,0.99534672498703,0.2576032280921936,0.7040917277336121,0.0,0.9796677827835083,0.2319239228963852,0.713973879814148,0.0,0.9915012121200562,0.2713142931461334,0.789602518081665,0.0,0.9537153244018555,0.2442275732755661,0.7999077439308167,0.0,0.9734719395637512
8,0.2375844568014145,0.44967401027679443,0.0,0.9099560976028442,0.23947152495384216,0.48951858282089233,0.0,0.9687133431434631,0.20100222527980804,0.4998670816421509,0.0,0.9932647943496704,0.24669195711612701,0.6169083714485168,0.0,0.9908449053764343,0.21992021799087524,0.6258715987205505,0.0,0.9959245920181274,0.26243364810943604,0.7044855952262878,0.0,0.9815860390663147,0.22913828492164612,0.7160722613334656,0.0,0.9920083284378052,0.27578020095825195,0.790224015712738,0.0,0.9559012651443481,0.23680296540260315,0.8025156855583191,0.0,0.9740724563598633
9,0.2401420623064041,0.4495396018028259,0.0,0.8594056367874146,0.24008899927139282,0.4903808534145355,0.0,0.9676123857498169,0.20889101922512054,0.5035699605941772,0.0,0.9960069060325623,0.24931244552135468,0.6232562065124512,0.0,0.9942010045051575,0.22962741553783417,0.6329137086868286,0.0,0.9981433153152466,0.255728155374527,0.7100857496261597,0.0,0.9846469163894653,0.24155935645103455,0.7204407453536987,0.0,0.9949913620948792,0.2618437707424164,0.7910359501838684,0.0,0.9605709910392761,0.24850870668888092,0.8069474697113037,0.0,0.9826651811599731
10,0.24189592897891998,0.4538549780845642,0.0,0.93105548620224,0.2435184121131897,0.48688778281211853,0.0,0.9736474752426147,0.20585231482982635,0.4971049129962921,0.0,0.9942615032196045,0.2517324388027191,0.6179775595664978,0.0,0.9914922118186951,0.22534985840320587,0.6265632510185242,0.0,0.9961767196655273,0.26529666781425476,0.7071030139923096,0.0,0.9818871021270752,0.23569028079509735,0.7199071049690247,0.0,0.9920769929885864,0.2763725221157074,0.7878223061561584,0.0,0.9537652730941772,0.23914484679698944,0.8047732710838318,0.0,0.9724579453468323
