指标,数值,单位
步频,115.4,步/分
步态周期,1.015,秒
对称性指数,10.3,%
变异系数,36.7,%
躯干稳定性,0.747,度/帧
躯干倾斜角,4.9,度
平均步长,0.0582,相对值
摆动幅度,0.5241,相对值
膝关节活动度,43.3,度
