指标,数值,单位
步频,85.2,步/分
步态周期,1.637,秒
对称性指数,49.4,%
变异系数,36.5,%
躯干稳定性,0.308,度/帧
躯干倾斜角,1.9,度
平均步长,0.0298,相对值
摆动幅度,0.312,相对值
膝关节活动度,8.0,度
