frame,NOSE_x,NOSE_y,NOSE_z,NOSE_visibility,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_visibility,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_visibility,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_visibility,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_visibility,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_visibility,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_visibility,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_visibility,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_visibility
4,0.48025843501091003,0.10997433960437775,0.0,0.6904976963996887,0.49412232637405396,0.12755489349365234,0.0,0.9532397389411926,0.4837411642074585,0.12791213393211365,0.0,0.8609722256660461,0.4894697070121765,0.17634502053260803,0.0,0.9410504102706909,0.4831428527832031,0.17569419741630554,0.0,0.8964987397193909,0.4891435503959656,0.21181339025497437,0.0,0.8752074837684631,0.48488757014274597,0.2111436128616333,0.0,0.7820031046867371,0.49407461285591125,0.24603676795959473,0.0,0.7995913028717041,0.49041974544525146,0.2445736676454544,0.0,0.7009948492050171
5,0.480634480714798,0.10959728062152863,0.0,0.6450108885765076,0.4935249090194702,0.1257925033569336,0.0,0.9523438215255737,0.48281529545783997,0.12598282098770142,0.0,0.8705377578735352,0.48921629786491394,0.17311500012874603,0.0,0.9574744701385498,0.48276883363723755,0.17245221138000488,0.0,0.9282370209693909,0.4891955554485321,0.20825743675231934,0.0,0.9212929606437683,0.4845826029777527,0.20764699578285217,0.0,0.8653734922409058,0.4937536120414734,0.24292927980422974,0.0,0.8782660365104675,0.48992156982421875,0.24164840579032898,0.0,0.8178378939628601
6,0.4813366234302521,0.11121512949466705,0.0,0.6957088112831116,0.4935634732246399,0.12600162625312805,0.0,0.9579753875732422,0.4814446270465851,0.1260584443807602,0.0,0.9045507311820984,0.4897889792919159,0.17130351066589355,0.0,0.9609366655349731,0.4823605418205261,0.17077326774597168,0.0,0.9403165578842163,0.48989030718803406,0.20576661825180054,0.0,0.922764778137207,0.48440325260162354,0.20517544448375702,0.0,0.8809505105018616,0.4935551881790161,0.239671528339386,0.0,0.8735153079032898,0.4889540672302246,0.23864799737930298,0.0,0.825559139251709
7,0.480503112077713,0.11189324408769608,0.0,0.6363051533699036,0.4930614233016968,0.12822186946868896,0.0,0.9398331046104431,0.4823378324508667,0.12826992571353912,0.0,0.8638149499893188,0.48926791548728943,0.17386853694915771,0.0,0.9384414553642273,0.48273277282714844,0.17329365015029907,0.0,0.9060232043266296,0.48949572443962097,0.2070256471633911,0.0,0.8855622410774231,0.4846569299697876,0.2063869684934616,0.0,0.8244564533233643,0.49319857358932495,0.23960910737514496,0.0,0.8296130895614624,0.48920878767967224,0.23841598629951477,0.0,0.7664405703544617
8,0.4806435704231262,0.10827283561229706,0.0,0.5648964047431946,0.4929678738117218,0.12406232953071594,0.0,0.9319897890090942,0.48513486981391907,0.12392910569906235,0.0,0.8359771966934204,0.4893832504749298,0.17014874517917633,0.0,0.9449480175971985,0.48476874828338623,0.16940973699092865,0.0,0.9118890762329102,0.48923322558403015,0.20457559823989868,0.0,0.912833571434021,0.48583200573921204,0.20393308997154236,0.0,0.8555014133453369,0.4933980107307434,0.2390252947807312,0.0,0.873074471950531,0.49059590697288513,0.2375873178243637,0.0,0.8142129182815552
9,0.4805954694747925,0.1081552729010582,0.0,0.6017230749130249,0.4929652214050293,0.12376090884208679,0.0,0.9479981660842896,0.4838646650314331,0.12356574088335037,0.0,0.858752965927124,0.4882467985153198,0.16967302560806274,0.0,0.9563189744949341,0.4827842712402344,0.1688593029975891,0.0,0.9259775280952454,0.48841336369514465,0.20356690883636475,0.0,0.926912784576416,0.48437002301216125,0.2028914988040924,0.0,0.8730042576789856,0.4930229187011719,0.23751279711723328,0.0,0.8901205062866211,0.4897477924823761,0.23618194460868835,0.0,0.8330395221710205
10,0.48059847950935364,0.10823419690132141,0.0,0.6172476410865784,0.4927542805671692,0.12349063903093338,0.0,0.9514210224151611,0.48289355635643005,0.12339586764574051,0.0,0.8778194785118103,0.48843908309936523,0.16916634142398834,0.0,0.9614902138710022,0.4825376272201538,0.1684613823890686,0.0,0.9375767707824707,0.4885450601577759,0.20294654369354248,0.0,0.9349502921104431,0.48415765166282654,0.2023034542798996,0.0,0.8920570015907288,0.49277856945991516,0.23696136474609375,0.0,0.9002684950828552,0.48910045623779297,0.23576368391513824,0.0,0.8535832166671753
11,0.4806669354438782,0.10896904766559601,0.0,0.6369754672050476,0.4931201934814453,0.12430058419704437,0.0,0.9504047632217407,0.4830232560634613,0.12420658022165298,0.0,0.8767396211624146,0.4894537627696991,0.17022646963596344,0.0,0.9562616944313049,0.48328182101249695,0.16955310106277466,0.0,0.9296154379844666,0.48945876955986023,0.20439821481704712,0.0,0.9216609001159668,0.4848649203777313,0.20376630127429962,0.0,0.8714858293533325,0.493679404258728,0.238336980342865,0.0,0.8790401220321655,0.4898441433906555,0.2371213734149933,0.0,0.8246768712997437
12,0.48062416911125183,0.10966042429208755,0.0,0.6131274104118347,0.4927715063095093,0.12446897476911545,0.0,0.953016459941864,0.4838752746582031,0.12450990080833435,0.0,0.878054678440094,0.48950421810150146,0.1702345460653305,0.0,0.962521493434906,0.48414915800094604,0.1695834994316101,0.0,0.9383078217506409,0.48951995372772217,0.2042234092950821,0.0,0.9352394938468933,0.4856010377407074,0.20366759598255157,0.0,0.8909085988998413,0.4943225085735321,0.23853081464767456,0.0,0.9008684754371643,0.49101102352142334,0.23734119534492493,0.0,0.8527729511260986
13,0.48094671964645386,0.11202776432037354,0.0,0.7280296087265015,0.49407121539115906,0.12689097225666046,0.0,0.9725052714347839,0.4822908341884613,0.12713615596294403,0.0,0.9254499673843384,0.4910113215446472,0.17233963310718536,0.0,0.973859429359436,0.4837229549884796,0.17179489135742188,0.0,0.9565355181694031,0.4908024072647095,0.20596125721931458,0.0,0.9432221055030823,0.4854885935783386,0.2054203301668167,0.0,0.9049053192138672,0.4954153001308441,0.23913799226284027,0.0,0.90465247631073,0.4910317659378052,0.23806484043598175,0.0,0.8594188094139099
14,0.48150718212127686,0.11199352145195007,0.0,0.7421485781669617,0.49508988857269287,0.1266690194606781,0.0,0.9744120240211487,0.48286932706832886,0.12700475752353668,0.0,0.9311705231666565,0.4925081431865692,0.17173999547958374,0.0,0.9751656651496887,0.48495742678642273,0.1712310016155243,0.0,0.9589534997940063,0.4918702244758606,0.2055177390575409,0.0,0.9442318677902222,0.48646557331085205,0.20497587323188782,0.0,0.9071359038352966,0.49626800417900085,0.2384689897298813,0.0,0.9046632051467896,0.49190616607666016,0.2373228818178177,0.0,0.8601730465888977
15,0.4811074435710907,0.11170343309640884,0.0,0.7218613624572754,0.49455660581588745,0.12594486773014069,0.0,0.9725942611694336,0.4827369451522827,0.1263103187084198,0.0,0.9279670715332031,0.49243324995040894,0.1707608997821808,0.0,0.9751479625701904,0.4852234125137329,0.17030587792396545,0.0,0.9594217538833618,0.49181362986564636,0.20482902228832245,0.0,0.9464175701141357,0.4866851568222046,0.2043134868144989,0.0,0.9116771817207336,0.49615538120269775,0.2381751537322998,0.0,0.9094949960708618,0.4918907880783081,0.2370603382587433,0.0,0.8681708574295044
16,0.4816981256008148,0.11119438707828522,0.0,0.7011768817901611,0.49505865573883057,0.12546217441558838,0.0,0.9705972671508789,0.48377788066864014,0.12569372355937958,0.0,0.9276745915412903,0.49286097288131714,0.16977879405021667,0.0,0.975867509841919,0.4861665964126587,0.1692725270986557,0.0,0.9618958234786987,0.4916851818561554,0.20368798077106476,0.0,0.9508250951766968,0.48711520433425903,0.20313499867916107,0.0,0.9210122227668762,0.4954577684402466,0.23692983388900757,0.0,0.9177548885345459,0.49169591069221497,0.23572546243667603,0.0,0.8823960423469543
17,0.48096227645874023,0.1118030920624733,0.0,0.7196682095527649,0.4945937991142273,0.1249287948012352,0.0,0.9738703966140747,0.48418188095092773,0.1254136860370636,0.0,0.9355097413063049,0.49430206418037415,0.16836601495742798,0.0,0.9781731963157654,0.4881901443004608,0.16802416741847992,0.0,0.9654818177223206,0.4921017587184906,0.2024434208869934,0.0,0.954591691493988,0.4881826341152191,0.20194323360919952,0.0,0.9258891940116882,0.4954514801502228,0.23610009253025055,0.0,0.9208340048789978,0.49207207560539246,0.23474009335041046,0.0,0.8855798244476318
18,0.48083412647247314,0.11369296908378601,0.0,0.7736572623252869,0.4948580861091614,0.12567639350891113,0.0,0.9796201586723328,0.4822757840156555,0.12647803127765656,0.0,0.9509267807006836,0.49553540349006653,0.16767483949661255,0.0,0.9817154407501221,0.48790520429611206,0.16754713654518127,0.0,0.9714903235435486,0.4929143786430359,0.2015020251274109,0.0,0.9587965607643127,0.4877241253852844,0.20105886459350586,0.0,0.9335488080978394,0.49568137526512146,0.23477435111999512,0.0,0.9237263202667236,0.4912817180156708,0.2333899289369583,0.0,0.8908233046531677
19,0.48114731907844543,0.11452652513980865,0.0,0.7931180596351624,0.49539387226104736,0.1261829435825348,0.0,0.9817367792129517,0.4819294810295105,0.12714719772338867,0.0,0.9565495848655701,0.4965498149394989,0.16800518333911896,0.0,0.9830111265182495,0.4883294999599457,0.1679813116788864,0.0,0.9736725687980652,0.4937637150287628,0.20193976163864136,0.0,0.9597960710525513,0.4881189465522766,0.20152711868286133,0.0,0.9356749057769775,0.49637794494628906,0.2351934164762497,0.0,0.9239826202392578,0.4916411340236664,0.2338276207447052,0.0,0.8919132351875305
20,0.48090556263923645,0.11490882933139801,0.0,0.7596881985664368,0.4955739676952362,0.12554839253425598,0.0,0.9773491024971008,0.4816141426563263,0.12681403756141663,0.0,0.9528868794441223,0.4955919086933136,0.16342589259147644,0.0,0.9770542979240417,0.48677217960357666,0.16365158557891846,0.0,0.9677098989486694,0.4945843815803528,0.19467800855636597,0.0,0.9478499889373779,0.4869847595691681,0.19468681514263153,0.0,0.9223231077194214,0.4973106384277344,0.22389180958271027,0.0,0.9086909890174866,0.49141719937324524,0.22321350872516632,0.0,0.8768021464347839
