指标,数值,单位
步频,66.2,步/分
步态周期,1.576,秒
对称性指数,22.2,%
变异系数,87.1,%
躯干稳定性,0.509,度/帧
躯干倾斜角,2.6,度
平均步长,0.0223,相对值
摆动幅度,0.2929,相对值
膝关节活动度,23.2,度
