frame,NOSE_x,NOSE_y,NOSE_z,NOSE_visibility,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_visibility,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_visibility,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_visibility,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_visibility,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_visibility,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_visibility,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_visibility,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_visibility
4,0.46621087193489075,0.37653809785842896,0.0,0.8947525024414062,0.4860136806964874,0.4244847893714905,0.0,0.9848625063896179,0.43704259395599365,0.4243974983692169,0.0,0.9633975625038147,0.4696522057056427,0.5655617117881775,0.0,0.9956451654434204,0.4383501708507538,0.5669224262237549,0.0,0.9930506944656372,0.47443121671676636,0.6782717704772949,0.0,0.9920153617858887,0.4460645914077759,0.6837373971939087,0.0,0.9882091283798218,0.4828580617904663,0.7863247394561768,0.0,0.9752097725868225,0.45164138078689575,0.795285701751709,0.0,0.9681316614151001
5,0.4744034707546234,0.38680121302604675,0.0,0.9482361674308777,0.48465976119041443,0.43012693524360657,0.0,0.9805742502212524,0.4353991746902466,0.43115702271461487,0.0,0.9776206612586975,0.46831637620925903,0.564345121383667,0.0,0.9922820925712585,0.4358356297016144,0.5670590996742249,0.0,0.9914218783378601,0.4737802743911743,0.6761606931686401,0.0,0.9857611060142517,0.44002506136894226,0.6866205930709839,0.0,0.9850494265556335,0.47855880856513977,0.7851203083992004,0.0,0.9594603776931763,0.44174954295158386,0.8024216294288635,0.0,0.9574630856513977
6,0.47776272892951965,0.38891372084617615,0.0,0.9532965421676636,0.48111364245414734,0.4327211081981659,0.0,0.9837346076965332,0.42857515811920166,0.4330219030380249,0.0,0.9899010062217712,0.4701176881790161,0.5690913796424866,0.0,0.9952451586723328,0.435345858335495,0.5726590752601624,0.0,0.9961127638816833,0.47976502776145935,0.676842987537384,0.0,0.988730251789093,0.4408479630947113,0.6896042227745056,0.0,0.9911870360374451,0.48433229327201843,0.7833313345909119,0.0,0.9608216285705566,0.4415454864501953,0.8042210936546326,0.0,0.9656684398651123
7,0.4488496482372284,0.38724103569984436,0.0,0.9501577019691467,0.48399436473846436,0.44370806217193604,0.0,0.9888895750045776,0.4284415543079376,0.443275511264801,0.0,0.9564175009727478,0.47106310725212097,0.5816029906272888,0.0,0.9913879036903381,0.43514299392700195,0.5824256539344788,0.0,0.9830943942070007,0.4781993627548218,0.6827462911605835,0.0,0.9851208925247192,0.4407014548778534,0.6908482313156128,0.0,0.9729036688804626,0.48070386052131653,0.7843405604362488,0.0,0.9463302493095398,0.43922874331474304,0.7994849681854248,0.0,0.9229429364204407
8,0.4386000335216522,0.3976692855358124,0.0,0.9559095501899719,0.48013174533843994,0.45305830240249634,0.0,0.9926512837409973,0.4268931448459625,0.45290273427963257,0.0,0.9513306021690369,0.4742317497730255,0.587867796421051,0.0,0.9945909976959229,0.4397183358669281,0.5900578498840332,0.0,0.986374020576477,0.4815841019153595,0.6857569217681885,0.0,0.9914924502372742,0.4437738358974457,0.7015519738197327,0.0,0.9805174469947815,0.4840695559978485,0.7838522791862488,0.0,0.9689106941223145,0.4429720640182495,0.812325656414032,0.0,0.9482442736625671
9,0.4359734356403351,0.4043830335140228,0.0,0.9718860387802124,0.4757939279079437,0.4573958218097687,0.0,0.9911233186721802,0.41872644424438477,0.45937734842300415,0.0,0.9761624336242676,0.47298622131347656,0.5965839624404907,0.0,0.9931079149246216,0.43533003330230713,0.6005541086196899,0.0,0.9883686304092407,0.48045170307159424,0.6936051845550537,0.0,0.9883897304534912,0.4387902021408081,0.7151510715484619,0.0,0.9820871949195862,0.4863288104534149,0.7858309149742126,0.0,0.9574790596961975,0.44057515263557434,0.8239676356315613,0.0,0.9450684189796448
10,0.4280703663825989,0.3993259072303772,0.0,0.9566887021064758,0.46809062361717224,0.45912033319473267,0.0,0.9914718270301819,0.41606253385543823,0.4576927423477173,0.0,0.9666507840156555,0.46422040462493896,0.5980187058448792,0.0,0.9923291802406311,0.4303014874458313,0.5997047424316406,0.0,0.9844264388084412,0.4712884724140167,0.6989033818244934,0.0,0.984582245349884,0.43390798568725586,0.7133889198303223,0.0,0.9714728593826294,0.4824085533618927,0.7925604581832886,0.0,0.9368470311164856,0.4396803081035614,0.8191664218902588,0.0,0.9097477197647095
11,0.4240088164806366,0.3987790048122406,0.0,0.92254638671875,0.4620995819568634,0.458407998085022,0.0,0.9773359298706055,0.4166373908519745,0.4562409818172455,0.0,0.9505722522735596,0.46276387572288513,0.5927838683128357,0.0,0.9843614101409912,0.4333188831806183,0.5940093994140625,0.0,0.9766222834587097,0.4670644998550415,0.6949548125267029,0.0,0.9780150055885315,0.4359336793422699,0.7063509225845337,0.0,0.9698604345321655,0.4806218147277832,0.7934529781341553,0.0,0.9352662563323975,0.4433881640434265,0.815173864364624,0.0,0.9235408902168274
12,0.41536352038383484,0.40101468563079834,0.0,0.9034687280654907,0.4597533047199249,0.45903846621513367,0.0,0.9791387915611267,0.40928220748901367,0.45661211013793945,0.0,0.9485966563224792,0.4572773873806,0.6046149730682373,0.0,0.9805199503898621,0.4254738986492157,0.6045820713043213,0.0,0.9692385196685791,0.46059226989746094,0.7181870937347412,0.0,0.9536885023117065,0.4306793212890625,0.7219691872596741,0.0,0.9330744743347168,0.47508877515792847,0.7988036274909973,0.0,0.8317882418632507,0.4451602101325989,0.8083591461181641,0.0,0.7990177869796753
13,0.41572895646095276,0.4083663523197174,0.0,0.9523390531539917,0.4602680504322052,0.4679284691810608,0.0,0.9871131777763367,0.40458744764328003,0.46994292736053467,0.0,0.970207691192627,0.45555973052978516,0.6222035884857178,0.0,0.9817414879798889,0.4215395748615265,0.6239214539527893,0.0,0.9723590016365051,0.45376813411712646,0.7334516048431396,0.0,0.9482231736183167,0.43037110567092896,0.7397715449333191,0.0,0.9272220730781555,0.4673435091972351,0.8136247396469116,0.0,0.7936455607414246,0.4480024576187134,0.8244714140892029,0.0,0.7572683095932007
14,0.4112544357776642,0.4070081412792206,0.0,0.9462868571281433,0.45365622639656067,0.4665045142173767,0.0,0.9943733215332031,0.40309861302375793,0.46680334210395813,0.0,0.9674000144004822,0.4500466287136078,0.6149230599403381,0.0,0.9929297566413879,0.41985610127449036,0.6159473657608032,0.0,0.9828394055366516,0.4483531713485718,0.717354416847229,0.0,0.9804165959358215,0.4290967285633087,0.7211225628852844,0.0,0.9564733505249023,0.46598121523857117,0.8012164831161499,0.0,0.9080830812454224,0.45059168338775635,0.8058703541755676,0.0,0.8569059371948242
15,0.40699663758277893,0.403531551361084,0.0,0.9460520148277283,0.45188531279563904,0.46887192130088806,0.0,0.9933392405509949,0.3981296718120575,0.46844610571861267,0.0,0.96584552526474,0.4484735429286957,0.6119606494903564,0.0,0.991496205329895,0.41645297408103943,0.6111085414886475,0.0,0.9807544946670532,0.4439854621887207,0.7232317924499512,0.0,0.9793262481689453,0.42526111006736755,0.7164630889892578,0.0,0.956244945526123,0.46267327666282654,0.812398374080658,0.0,0.9109597206115723,0.45341119170188904,0.8007643222808838,0.0,0.866538941860199
16,0.40475139021873474,0.4106670618057251,0.0,0.9268359541893005,0.4497818946838379,0.4746357500553131,0.0,0.996840238571167,0.39712265133857727,0.47334766387939453,0.0,0.9749302268028259,0.444015234708786,0.6259677410125732,0.0,0.9969766139984131,0.41313886642456055,0.6235254406929016,0.0,0.9920159578323364,0.4380742907524109,0.7439959645271301,0.0,0.9911875128746033,0.4292570948600769,0.7271052598953247,0.0,0.9783122539520264,0.4538045823574066,0.8471337556838989,0.0,0.946500301361084,0.4597872495651245,0.8175078630447388,0.0,0.9126991629600525
17,0.39910319447517395,0.41552087664604187,0.0,0.9424430131912231,0.44685789942741394,0.4803635776042938,0.0,0.9976264834403992,0.39065828919410706,0.4777306020259857,0.0,0.9692119359970093,0.4389999210834503,0.6310622692108154,0.0,0.9972341656684875,0.4053727388381958,0.6284171342849731,0.0,0.9907153844833374,0.43552133440971375,0.7510430812835693,0.0,0.9921925663948059,0.4230140745639801,0.7363290190696716,0.0,0.9759497046470642,0.44979676604270935,0.8522801995277405,0.0,0.9516093730926514,0.4547376334667206,0.8278378844261169,0.0,0.9089857935905457
