指标,数值,单位
步频,177.4,步/分
步态周期,0.591,秒
对称性指数,0.3,%
变异系数,27.2,%
躯干稳定性,1.213,度/帧
躯干倾斜角,6.0,度
平均步长,0.0413,相对值
摆动幅度,0.1821,相对值
膝关节活动度,17.8,度
